               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.042441,            0.034463,           0.0032345,             0.54581,             0.59983,             0.59953,             0.26517,              0.0394,             0.01512,           0.0046879,            0.004159,            0.004159,            0.004159
                  61,            0.042296,            0.034684,            0.003279,             0.60792,             0.61558,             0.59662,             0.26622,            0.037463,             0.01462,            0.003616,             0.00406,             0.00406,             0.00406
                  62,            0.042265,            0.033676,           0.0027575,             0.55978,             0.60658,             0.60407,             0.26942,            0.038156,            0.014534,           0.0035412,            0.003961,            0.003961,            0.003961
                  63,            0.041661,             0.03449,           0.0028388,             0.67156,             0.58874,              0.6224,             0.27876,             0.03904,            0.014592,           0.0025944,            0.003862,            0.003862,            0.003862
                  64,            0.042689,            0.035132,           0.0029865,             0.68942,             0.56341,             0.62542,             0.28483,            0.037873,            0.014401,           0.0031272,            0.003763,            0.003763,            0.003763
                  65,            0.042745,            0.034139,           0.0032153,             0.60615,             0.60534,              0.6183,             0.28069,            0.037456,            0.014309,           0.0024096,            0.003664,            0.003664,            0.003664
                  66,            0.041604,            0.034517,           0.0028965,             0.61665,             0.59521,             0.63459,             0.28985,            0.037976,            0.014138,           0.0026357,            0.003565,            0.003565,            0.003565
                  67,            0.041245,            0.034172,           0.0033891,             0.60152,             0.59561,             0.63012,             0.28855,             0.03791,            0.014703,           0.0023534,            0.003466,            0.003466,            0.003466
                  68,            0.041741,            0.034872,           0.0029009,             0.56383,             0.58835,              0.6072,             0.26835,            0.039622,            0.014674,           0.0040331,            0.003367,            0.003367,            0.003367
                  69,            0.041991,            0.034979,           0.0030038,             0.55301,             0.63071,             0.64863,             0.28875,            0.038331,            0.014395,           0.0028575,            0.003268,            0.003268,            0.003268
